Timestamp,Label,Value
2026-01-21 19:50:57.533787,STOP,2
2026-01-21 19:50:58.793869,STOP,3
2026-01-21 19:51:00.052894,STOP,4
2026-01-21 19:51:01.312797,STOP,5
2026-01-21 19:51:02.563902,STOP,6
2026-01-21 19:51:03.820874,STOP,7
2026-01-21 19:51:05.077263,STOP,8
2026-01-21 19:51:06.334343,STOP,9
2026-01-21 19:51:07.595733,STOP,10
2026-01-21 19:51:08.855485,STOP,11
2026-01-21 19:51:10.119534,STOP,12
2026-01-21 19:51:11.382367,STOP,13
2026-01-21 19:51:12.646529,STOP,14
2026-01-21 19:51:13.894992,STOP,15
2026-01-21 19:51:15.156993,STOP,16
2026-01-21 19:51:16.419881,STOP,17
2026-01-21 19:51:17.672027,STOP,18
2026-01-21 19:51:18.935329,STOP,19
2026-01-21 19:51:20.195367,STOP,20
2026-01-21 19:51:21.457033,STOP,21
2026-01-21 19:51:22.715166,STOP,22
2026-01-21 19:51:23.978684,STOP,23
2026-01-21 19:51:25.240464,STOP,24
2026-01-21 19:51:26.504581,STOP,25
2026-01-21 19:51:27.767873,STOP,26
2026-01-21 19:51:29.030575,STOP,27
2026-01-21 19:51:30.292903,STOP,28
2026-01-21 19:51:31.556373,STOP,29
2026-01-21 19:51:32.813279,STOP,30
2026-01-21 19:51:34.074445,STOP,31
2026-01-21 19:51:35.331956,STOP,32
2026-01-21 19:51:36.587996,STOP,33
2026-01-21 19:51:37.846110,STOP,34
2026-01-21 19:51:39.106624,STOP,35
2026-01-21 19:51:40.363002,STOP,36
2026-01-21 19:51:41.618138,STOP,37
2026-01-21 19:51:42.881205,STOP,38
2026-01-21 19:51:44.143434,STOP,39
2026-01-21 22:35:25.338699,STOP,2
2026-01-21 22:35:26.590977,STOP,3
2026-01-21 22:35:27.854539,STOP,4
2026-01-21 22:35:29.117344,STOP,5
2026-01-21 22:35:30.378432,STOP,6
2026-01-21 22:35:31.640898,STOP,7
2026-01-21 22:35:32.896259,STOP,8
2026-01-21 22:35:34.147496,STOP,9
2026-01-21 22:35:35.410006,STOP,10
2026-01-21 22:35:36.641450,STOP,11
2026-01-21 22:35:37.884751,STOP,12
2026-01-21 22:35:39.147498,STOP,13
2026-01-21 22:35:40.408306,STOP,14
