Timestamp,Label,Value
2026-01-22 04:09:03.156780,nya,385
2026-01-22 04:09:03.281307,nya,387
2026-01-22 04:09:03.405996,nya,389
2026-01-22 04:09:03.528985,nya,391
2026-01-22 04:09:03.651627,nya,393
2026-01-22 04:09:03.776786,nya,395
2026-01-22 04:09:03.900709,nya,397
2026-01-22 04:09:04.026626,nya,399
2026-01-22 04:09:04.150021,nya,401
2026-01-22 04:09:04.273170,nya,403
2026-01-22 04:09:04.395770,nya,405
2026-01-22 04:09:04.519830,nya,407
2026-01-22 04:09:04.646209,nya,409
2026-01-22 04:09:04.771046,nya,411
2026-01-22 04:09:04.896495,nya,413
2026-01-22 04:09:05.020019,nya,415
2026-01-22 04:09:05.144310,nya,417
2026-01-22 04:09:05.267969,nya,419
2026-01-22 04:09:05.391674,nya,421
2026-01-22 04:09:05.515991,nya,423
2026-01-22 04:09:05.641979,nya,425
2026-01-22 04:09:05.767898,nya,427
2026-01-22 04:09:05.891743,nya,429
2026-01-22 04:09:06.015955,nya,431
2026-01-22 04:09:06.139002,nya,433
2026-01-22 04:09:06.261611,nya,435
2026-01-22 04:09:06.385376,nya,437
2026-01-22 04:09:06.510262,nya,439
2026-01-22 04:09:06.635519,nya,441
2026-01-22 04:09:06.758718,nya,443
2026-01-22 04:09:06.881716,nya,445
2026-01-22 04:09:07.005953,nya,447
2026-01-22 04:09:07.129940,nya,449
2026-01-22 04:09:07.255265,nya,451
2026-01-22 04:09:07.378798,nya,453
2026-01-22 04:09:07.502914,nya,455
2026-01-22 04:09:07.626531,nya,457
2026-01-22 04:09:07.748700,nya,459
2026-01-22 04:09:07.872263,nya,461
2026-01-22 04:09:07.997531,nya,463
2026-01-22 04:09:08.120982,nya,465
2026-01-22 04:09:08.246879,nya,467
2026-01-22 04:09:08.369243,nya,469
2026-01-22 04:09:08.493309,nya,471
2026-01-22 04:09:08.618021,nya,473
2026-01-22 04:09:08.741131,nya,475
2026-01-22 04:09:08.865636,nya,477
2026-01-22 04:09:08.991163,nya,479
2026-01-22 04:09:09.114457,nya,481
2026-01-22 04:09:09.237396,nya,483
2026-01-22 04:09:09.362904,nya,485
2026-01-22 04:09:09.484660,nya,487
2026-01-22 04:09:09.610719,nya,489
2026-01-22 04:09:09.733377,nya,491
2026-01-22 04:09:09.858739,nya,493
2026-01-22 04:09:09.982416,nya,495
2026-01-22 04:09:10.107676,nya,497
2026-01-22 04:09:10.232501,nya,499
2026-01-22 04:09:10.357754,nya,501
2026-01-22 04:09:10.479739,nya,503
2026-01-22 04:09:10.603854,nya,505
2026-01-22 04:09:10.726981,nya,507
2026-01-22 04:09:10.849968,nya,509
2026-01-22 04:09:10.975739,nya,511
2026-01-22 04:09:11.099728,nya,513
2026-01-22 04:09:11.221981,nya,515
2026-01-22 04:09:11.348004,nya,517
2026-01-22 04:09:11.471490,nya,519
2026-01-22 04:09:11.597256,nya,521
2026-01-22 04:09:11.720801,nya,523
2026-01-22 04:09:11.845133,nya,525
2026-01-22 04:09:11.970056,nya,527
2026-01-22 04:09:12.095913,nya,529
2026-01-22 04:09:12.221944,nya,531
2026-01-22 04:09:12.346836,nya,533
2026-01-22 04:09:12.471184,nya,535
2026-01-22 04:09:12.595201,nya,537
2026-01-22 04:09:12.719980,nya,539
2026-01-22 04:09:12.845547,nya,541
2026-01-22 04:09:12.971608,nya,543
2026-01-22 04:09:13.095116,nya,545
2026-01-22 04:09:13.220897,nya,547
2026-01-22 04:09:13.343855,nya,549
2026-01-22 04:09:13.468708,nya,551
2026-01-22 04:09:13.595512,nya,553
2026-01-22 04:09:13.720108,nya,555
2026-01-22 04:09:13.844282,nya,557
2026-01-22 04:09:13.970262,nya,559
2026-01-22 04:09:14.094525,nya,561
2026-01-22 04:09:14.217457,nya,563
2026-01-22 04:09:14.341207,nya,565
2026-01-22 04:09:14.451760,nya,567
2026-01-22 04:09:14.574664,nya,569
2026-01-22 04:09:14.700069,nya,571
2026-01-22 04:09:14.825994,nya,573
2026-01-22 04:09:14.951628,nya,575
2026-01-22 04:09:15.074275,nya,577
2026-01-22 04:09:15.201134,nya,579
2026-01-22 04:09:15.324215,nya,581
2026-01-22 04:09:15.451572,nya,583
2026-01-22 04:09:15.578391,nya,585
2026-01-22 04:09:15.703280,nya,587
2026-01-22 04:09:15.829023,nya,589
2026-01-22 04:09:15.953622,nya,591
2026-01-22 04:09:16.079876,nya,593
2026-01-22 04:09:16.203911,nya,595
2026-01-22 04:09:16.329576,nya,597
2026-01-22 04:09:16.454345,nya,599
2026-01-22 04:09:16.577242,nya,601
2026-01-22 04:09:16.702909,nya,603
2026-01-22 04:09:16.827900,nya,605
2026-01-22 04:09:16.952028,nya,607
2026-01-22 04:09:17.077983,nya,609
2026-01-22 04:09:17.201817,nya,611
2026-01-22 04:09:17.326688,nya,613
2026-01-22 04:09:17.449617,nya,615
2026-01-22 04:09:17.573160,nya,617
2026-01-22 04:09:17.697048,nya,619
2026-01-22 04:09:17.821003,nya,621
2026-01-22 04:09:17.945960,nya,623
2026-01-22 04:09:18.071896,nya,625
2026-01-22 04:09:18.195358,nya,627
2026-01-22 04:09:18.319789,nya,629
2026-01-22 04:09:18.444140,nya,631
2026-01-22 04:09:18.569776,nya,633
2026-01-22 04:09:18.693590,nya,635
2026-01-22 04:09:18.818713,nya,637
2026-01-22 04:09:18.943062,nya,639
2026-01-22 04:09:19.069666,nya,641
2026-01-22 04:09:19.194837,nya,643
2026-01-22 04:09:19.317722,nya,645
2026-01-22 04:09:19.444012,nya,647
2026-01-22 04:09:19.569621,nya,649
2026-01-22 04:09:19.692739,nya,651
2026-01-22 04:09:19.817001,nya,653
2026-01-22 04:09:19.939689,nya,655
2026-01-22 04:09:20.064157,nya,657
2026-01-22 04:09:20.187529,nya,659
2026-01-22 04:09:20.313496,nya,661
2026-01-22 04:09:20.438001,nya,663
2026-01-22 04:09:20.561649,nya,665
2026-01-22 04:09:20.687781,nya,667
2026-01-22 04:09:20.809956,nya,669
