Timestamp,Label,Value
2026-01-22 04:17:26.323011,nya1,625
2026-01-22 04:17:26.431027,nya1,629
2026-01-22 04:17:26.555222,nya1,633
2026-01-22 04:17:26.680844,nya1,637
2026-01-22 04:17:26.804518,nya1,641
2026-01-22 04:17:26.929703,nya1,645
2026-01-22 04:17:27.055554,nya1,649
2026-01-22 04:17:27.180400,nya1,653
2026-01-22 04:17:27.304788,nya1,657
2026-01-22 04:17:27.429790,nya1,661
2026-01-22 04:17:27.554297,nya1,665
2026-01-22 04:17:27.678026,nya1,669
2026-01-22 04:17:27.802405,nya1,673
2026-01-22 04:17:27.927903,nya1,677
2026-01-22 04:17:28.053984,nya1,681
2026-01-22 04:17:28.177805,nya1,685
2026-01-22 04:17:28.303122,nya1,689
2026-01-22 04:17:28.428375,nya1,693
2026-01-22 04:17:28.555177,nya1,697
2026-01-22 04:17:28.679221,nya1,701
2026-01-22 04:17:28.803856,nya1,705
2026-01-22 04:17:28.929851,nya1,709
2026-01-22 04:17:29.053977,nya1,713
2026-01-22 04:17:29.178619,nya1,717
2026-01-22 04:17:29.302842,nya1,721
2026-01-22 04:17:29.427939,nya1,725
2026-01-22 04:17:29.551078,nya1,729
2026-01-22 04:17:29.675036,nya1,733
2026-01-22 04:17:29.799864,nya1,737
2026-01-22 04:17:29.925489,nya1,741
2026-01-22 04:17:30.050563,nya1,745
2026-01-22 04:17:30.173534,nya1,749
2026-01-22 04:17:30.299026,nya1,753
2026-01-22 04:17:30.425381,nya1,757
2026-01-22 04:17:30.550776,nya1,761
2026-01-22 04:17:30.676174,nya1,765
2026-01-22 04:17:30.802652,nya1,769
2026-01-22 04:17:30.929077,nya1,773
2026-01-22 04:17:31.053785,nya1,777
2026-01-22 04:17:31.178434,nya1,781
2026-01-22 04:17:31.301680,nya1,785
2026-01-22 04:17:31.426899,nya1,789
2026-01-22 04:17:31.552075,nya1,793
2026-01-22 04:17:31.677569,nya1,797
2026-01-22 04:17:31.802366,nya1,801
2026-01-22 04:17:31.926308,nya1,805
2026-01-22 04:17:32.049998,nya1,809
2026-01-22 04:17:32.174321,nya1,813
2026-01-22 04:17:32.298594,nya1,817
2026-01-22 04:17:32.423098,nya1,821
2026-01-22 04:17:32.547398,nya1,825
2026-01-22 04:17:32.672908,nya1,829
2026-01-22 04:17:32.797704,nya1,833
2026-01-22 04:17:32.923402,nya1,837
2026-01-22 04:17:33.048712,nya1,841
2026-01-22 04:17:33.174440,nya1,845
2026-01-22 04:17:33.299321,nya1,849
2026-01-22 04:17:33.422950,nya1,853
2026-01-22 04:17:33.549178,nya1,857
2026-01-22 04:17:33.674631,nya1,861
2026-01-22 04:17:33.799494,nya1,865
2026-01-22 04:17:33.927307,nya1,869
2026-01-22 04:17:34.051030,nya1,873
2026-01-22 04:17:34.175282,nya1,877
2026-01-22 04:17:34.298812,nya1,881
2026-01-22 04:17:34.423524,nya1,885
2026-01-22 04:17:34.549235,nya1,889
2026-01-22 04:17:34.673086,nya1,893
2026-01-22 04:17:34.797423,nya1,897
2026-01-22 04:17:34.922496,nya1,901
2026-01-22 04:17:35.046949,nya1,905
2026-01-22 04:17:35.171653,nya1,909
2026-01-22 04:17:35.296906,nya1,913
2026-01-22 04:17:35.421270,nya1,917
2026-01-22 04:17:35.546185,nya1,921
2026-01-22 04:17:35.671861,nya1,925
2026-01-22 04:17:35.797776,nya1,929
2026-01-22 04:17:35.924942,nya1,933
2026-01-22 04:17:36.050932,nya1,937
2026-01-22 04:17:36.177170,nya1,941
2026-01-22 04:17:36.302892,nya1,945
2026-01-22 04:17:36.428216,nya1,949
2026-01-22 04:17:36.552889,nya1,953
2026-01-22 04:17:36.676133,nya1,957
2026-01-22 04:17:36.800843,nya1,961
2026-01-22 04:17:36.926135,nya1,965
2026-01-22 04:17:37.049725,nya1,969
2026-01-22 04:17:37.174147,nya1,973
2026-01-22 04:17:37.297472,nya1,977
2026-01-22 04:17:37.421765,nya1,981
